"","Hugo_Symbol","pcon_condensed","gc_condensed","pcon_unified","gc_unified"
"13291","TMUB2",0.0424803329108837,0.179767197648021,0.0922935930830299,0.0948763520241025
"13292","ATXN7L3",0.0349176255492634,0.22443878543471,0.0732353803084852,0.101340913994311
"13293","UBTF",0.0399572337679126,0.20956408275622,0.0895910407775643,0.12716012624877
"13294","SLC4A1",0.000522137286508897,0.927093212170156,0.00026672562706844,0.919288771256048
"13295","RUNDC3A",0.00224776447281628,0.887543913501338,0.0680463363703177,0.33666106411408
"13296","SLC25A39",0.0334571036566644,0.333598467327787,0.0829923713579481,0.157672886397378
"13297","GRN",0.0261642245844334,0.330223151983861,0.0582755331192508,0.253486786342382
"13298","FAM171A2",0.0166834717912075,0.704979431701586,0.0347977711231568,0.58755767311167
"13299","ITGA2B",0.0134355825586212,0.638874825560212,0.0343792748751339,0.545769561135252
"13300","GPATCH8",0.0268295120867766,0.287090535644959,0.075669495647037,0.154786535675258
"13301","FZD2",0.0224021734832455,0.507758896239807,0.0488796663103398,0.477591552633998
"13302","CCDC43",0.0346021972293927,0.185339444648738,0.0856710273817139,0.0928908493235916
"13303","DBF4B",0.0397731012729617,0.404250422776376,0.0805230498723956,0.227827797463933
"13304","ADAM11",0.0103494363280238,0.846624795981695,0.130658080310812,0.491854083807036
"13305","GJC1",0.0427285036099111,0.533782813543674,0.100655096566381,0.45273934536878
"13306","HIGD1B",0.0555433361150581,0.541349684581024,0.0485973254846256,0.651143595121214
"13307","EFTUD2",0.0343268041979171,0.153166658754023,0.0683285467252411,0.100893024766658
"13308","GFAP",6.87327027346497e-05,0.964726431262013,0.0639563225114556,0.452666471677878
"13309","KIF18B",0.00799448633209239,0.690397126886581,0.0113280046399507,0.677937508452434
"13310","C1QL1",0.0235738665158621,0.647777405665769,0.045587437336508,0.547166367327207
"13311","DCAKD",0.0467429285012644,0.245324753007548,0.116348816474731,0.171084589154739
"13312","NMT1",0.0361592979914355,0.159130193323671,0.0627305280911235,0.141149140875379
"13313","PLCD3",0.0299967878445776,0.360357759812494,0.0428712573927067,0.425155035108625
"13314","ACBD4",0.0451383936146001,0.271243480782474,0.0673438953026832,0.306002107624962
"13315","HEXIM1",0.0451717057127069,0.178271755829421,0.0928275409513917,0.0986549015881728
"13316","HEXIM2",0.0413604903847071,0.302683416031302,0.0820998381973992,0.166105966105966
"13317","FMNL1",0.0165753777007736,0.607223812027728,0.0392772257380946,0.363884724421937
"13318","SPATA32",0.00461117009328486,0.930497085498154,0.131389252948886,0.25579695533824
"13319","ARHGAP27",0.028343443303423,0.452022601390124,0.0462562330932438,0.43191584415324
"13320","PLEKHM1",0.0318869298684587,0.2469471109165,0.0527172050425512,0.284529529492966
