"","Hugo_Symbol","bladder","breast","cervix","colon","kidney","liver","lung","prostate","salivary","stomach","thyroid","uterus","max_easophagus","Min","Quantile.1","Median","Quantile.3","Max"
"196","TMPRSS6",1.38,8.19,2.84,7.51,1.96,2468.49,17.64,3.365,1.31,14.945,2.385,4.19,4.31,1.31,2.385,4.19,8.19,2468.49
"197","TDO2",10.71,4.94,7.63,25.72,16.27,14765.09,39.79,11.09,12.09,14.45,2.215,8.19,17.13,2.215,8.19,12.09,17.13,14765.09
"198","KRT6A",46.84,65.72,29.06,5.11,1.48,4.9,23.76,33.42,34158.52,39.785,5.32,3.055,121448.75,1.48,5.11,29.06,46.84,121448.75
"199","CALB1",5.28,2.92,13.03,5.68,1668.76,1.85,3.92,1.94,1.73,5.145,2.86,1.8,9.2,1.73,1.94,3.92,5.68,1668.76
"200","LY6D",1015.93,90.77,13.52,4.35,1.5,2.61,8.06,59.6,5517.27,28.14,2.595,3.725,33224.42,1.5,3.725,13.52,90.77,33224.42
"201","IGFALS",2.61,6.06,20.41,12.64,18.63,3081.75,51.35,6.78,3,84.925,21.395,7.11,22.18,2.61,6.78,18.63,22.18,3081.75
"202","PROZ",1.6,1.17,1.53,2.53,67.95,1794.29,1.2,2.27,0.74,3.085,2.46,1.86,3.63,0.74,1.53,2.27,3.085,1794.29
"203","C5orf27",1.16,19.97,3.14,2.78,25.13,1447.15,3.69,3.03,13.03,4.045,3.29,1.66,9.095,1.16,3.03,3.69,13.03,1447.15
"204","HAO2",1.14,4.28,0,0.73,1595.34,8901.53,0.4,1.3,1.69,0.635,1.08,1.43,0.51,0,0.635,1.14,1.69,8901.53
"205","SPRR2A",7.82,4.74,8.38,3.44,7.545,3.29,13.93,1.95,6561.36,27.455,1.62,0.945,63742.91,0.945,3.29,7.545,13.93,63742.91
"206","SFTPA1",3.41,2.51,0.08,4.7,0.915,0.88,542775.98,10.01,5.63,2.27,3.395,0.68,4.68,0.08,0.915,3.395,4.7,542775.98
"207","SAA1",120.1,31215.04,612.11,110.43,112.995,149521.18,376.41,196.46,4358.66,179.395,21.32,20.19,325.29,20.19,112.995,196.46,612.11,149521.18
"208","MUC5AC",0.96,0.07,2.48,1.93,0.03,0.17,3.5,1.54,5.5,5059.305,0,0.28,6.62,0,0.17,1.54,3.5,5059.305
"209","APOF",0,3,0,0,1.005,7966.99,0,16.69,0.58,0,0,0,0,0,0,0,1.005,7966.99
"210","ATP4B",0.49,0.21,3,0.74,11.125,0.25,0.58,0.81,0.16,2090.085,3.975,1.76,9.7,0.16,0.49,0.81,3.975,2090.085
"211","SLC10A1",0.91,0.67,0.6,1.69,0.31,9279.58,1.08,0.645,0.93,1.585,0.77,0.84,1.64,0.31,0.67,0.91,1.585,9279.58
"212","BARX1",0.87,5.36,0,4.82,0,2.56,1.01,1.15,30.12,500.46,10.08,1.625,2627.52,0,1.01,2.56,10.08,2627.52
