"Hugo_Symbol","pcon","gini_coeff"
"THADA",0.114794895438879,0.178848071171102
"CD7",0.0484955291930415,0.281473136000382
"COL11A1",0.0407119021134594,0.462625139043382
"MRPL46",0.0610903688398991,0.158127607931864
"C1QBP",0.0701405426826321,0.107510536502218
"HAUS6",0.0777717474949575,0.130046614570839
"NR3C1",0.0670493521681154,0.237536127028914
"FILIP1",0.0272176035517818,0.476740367648972
"SCD5",0.0714148346416019,0.402128057503262
"TCF19",0.0783534232995917,0.208166299089791
"HIST1H1B",0,0.847887463470206
"SBNO2",0.0552654815470242,0.226009920026743
"NAE1",0.079516458470479,0.102070161551756
"SLC27A6",0.0580795136198367,0.587757048339989
"MYO18A",0.0526831874649081,0.198909427310402
"TRMT44",0.066701421280799,0.204202118952709
"RPL4",0.0759573462626395,0.171924515011985
"MAGEE1",0.110517830103664,0.305657976826359
"OSER1",0.0719460098500294,0.120223314962134
"EEPD1",0.0678655746739786,0.266595729281704
"CRLS1",0.0848711346189271,0.189352637485253
"C20orf24",0.0579663517646282,0.242505019384288
"VCL",0.08405656142451,0.307289364321952
"DRD2",0.0866550099279851,0.547728417745903
"FGFRL1",0.0478672372130173,0.331510725824191
"ART4",0.0105788102055918,0.752815100989227
"RCOR3",0.0977570719573348,0.164908101283581
"CACUL1",0.0726639161883499,0.13377048571606
"ZNF707",0.0808670969336853,0.110815603438966
"PDE3A",0.0539647298531582,0.529827000091878
"NRIP1",0.064690214870483,0.281559286877694
"BOLA2",0.0555074617926814,0.161546740087485
"COG6",0.0937851061086931,0.126145412424027
"CRK",0.0667639047195873,0.0708123860375469
"PLEKHJ1",0.0660721006451173,0.184452901779076
"B4GALNT2",0,0.741134796264465
"HNF4A",0.000144885540423066,0.835141407832553
"FGFR2",0.0860085908881292,0.222734502544556
"EIF3L",0.0761899442980267,0.149742106587436
"UGT1A1",0.00181726548024931,0.847207035695926
"CHRDL1",0.145371425036011,0.474742660679655
"DEFA5",0,0.919863155712212
"LRRC25",0.0386069396555818,0.364763372343231
"SH2B2",0.0495010942542379,0.22523518619442
"VCAN",0.0357966903329735,0.364378793865313
"BCOR",0.0933791962747773,0.104284840795921
"MSL2",0.0768259346136725,0.113420998990042
"FCGR2A",0.0315374723259365,0.459014142928845
"GPR158",0.294426790515766,0.504634939736382
"FAM114A2",0.0797863474799313,0.100916646118186
"MCHR1",0.0233725665197746,0.423469541001755
