"","Hugo_Symbol","PRAD_Median"
"962","ZKSCAN4",81.715
"963","TNFAIP1",480.045
"964","SNX24",180.675
"965","KANK1",1104.13
"966","LILRA5",18.82
"967","NPY",12590.29
"968","TMEM185B",359.79
"969","AL356356.1",2.865
"970","ADCY3",665.29
"971","ATP2B2",1.445
"972","DHFR",187.725
"973","CTC-398G3.6",0
"974","NDUFAF6",309.845
"975","SLC25A51",186.42
"976","RP11-196G11.1",20.485
"977","SLC8A2",28.96
"978","NDUFA9",1250.98
"979","IQSEC3",48.755
"980","VPS35",1088.92
"981","ZNF135",117.19
"982","APC",128.8
"983","ZFP91-CNTF",0
"984","IL1RL2",26.665
"985","ZNF446",337.965
"986","CCK",746.01
"987","AKR1B1",1112.06
"988","PRSS53",24.555
"989","HS3ST5",1.085
"990","IGFL3",0
"991","GABARAPL2",3969.235
"992","TONSL",46.185
"993","CERS3",13.15
"994","SCNN1G",158.28
"995","PRRC2B",1611.415
"996","SLC2A1",629.36
"997","AL358333.1",89.395
"998","ZNF669",71.25
"999","DNAJC1",710.645
"1000","INTS3",756.455
"1001","EIF4A1",9540.725
"1002","CCDC157",65.26
"1003","RP11-210M15.2",18.1
"1004","TET1",11.425
"1005","TMEM143",133.36
"1006","ARIH2OS",63.45
"1007","ACADVL",8963.67
"1008","ARL14",1.655
"1009","IFT57",1806.95
"1010","RAPGEF3",292.065
"1011","MED4",1123.455
"1012","LITAF",3887.53
"1013","DNAH9",38.535
"1014","ADAM33",253.23
"1015","WDFY2",129.245
"1016","CHD3",2392.67
"1017","DDX41",1369.07
"1018","ATP8A1",312
"1019","RGS14",443.18
"1020","L3MBTL3",150.7
"1021","LPPR4",4.805
"1022","G6PD",676.94
"1023","NME1-NME2",11746.245
"1024","HMX1",0
"1025","PDE1A",87.34
"1026","CBS",753.99
"1027","NMRAL1",1572.76
"1028","KIAA1755",110.045
"1029","MLC1",34.56
"1030","CCDC92",796.88
"1031","TOLLIP",1238.045
"1032","HNRNPC",9774.865
"1033","FOXA3",17.835
"1034","SH2B3",115.565
"1035","DFNB59",46.015
"1036","VBP1",893.59
"1037","C5orf58",5.32
"1038","RARRES1",837.035
"1039","C1orf61",5.54
"1040","MSMB",246312.92
"1041","PABPC4L",40.645
"1042","RSU1",1127.35
"1043","LEPREL4",336.8
"1044","KIAA1033",336.825
"1045","KCNJ10",2.385
"1046","NUP210",156.605
"1047","DBNDD1",170.275
"1048","NRF1",213.525
"1049","ADCY2",240.355
"1050","ALG13",921.905
"1051","ATP5A1",8778.97
"1052","CGREF1",123.09
"1053","TTI2",191.675
"1054","MT1A",212.865
"1055","C11orf42",0.795
"1056","HEYL",158.245
"1057","KCNK10",0.925
